GeoFIPS,County,Sector,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
6049,MODOC,Total,173.504307,180.61281,165.338792,145.244463,148.985921,152.819021,152.105635,164.679766,167.942774,169.109259,163.954645,149.267863,154.043929,159.040226,160.84929,146.464782,160.302097,153.502761,151.678479,169.410156,161.659936,162.143341,165.152453,166.379517,142.508443,164.591158,176.209543,137.40073,143.794174,156.182727,162.784875,128.373771,139.940919,5195.978563
6051,MONO,Total,213.383923,206.739287,200.045832,211.621577,197.021459,199.486513,189.479941,188.660211,191.606934,204.437944,196.958957,204.850358,201.169051,199.680846,199.711765,185.590257,174.910575,195.600004,195.082813,163.458791,145.723362,136.529493,146.895189,153.034493,186.345661,181.05813,170.287274,165.460044,169.584752,166.93195,162.2198,184.867233,159.319521,6047.75394
6053,MONTEREY,Total,2490.468746,2480.948594,2412.742881,2471.23251,2478.597525,2558.205103,2559.445462,2652.848734,2603.356783,2625.188878,2548.401475,2567.262801,2564.789973,2596.506415,2616.406607,2582.074024,2556.210373,2553.473907,2619.00418,2596.259037,2566.894399,2496.821761,2502.464169,2484.664673,2275.809169,2351.909092,2246.451466,2276.214833,2092.382654,2202.366963,2210.001332,2184.817134,2122.10059,81146.32224
6055,NAPA,Total,1029.113973,995.36095,1018.581906,1030.996486,1018.086667,1044.282935,1040.192862,1034.771616,1030.221416,1038.021316,1023.261591,1016.104044,1005.935324,1010.458234,1025.198733,997.792886,980.937927,939.293878,937.637325,918.040244,899.79387,867.028238,938.538669,921.903943,861.67805,840.00467,796.505243,706.633885,680.896891,692.432841,684.661579,646.675129,631.620557,30302.66388
6057,NEVADA,Total,697.188838,748.32289,729.253761,708.958422,714.072195,741.021633,659.396729,626.495136,633.754043,658.196425,660.776911,658.407976,654.807115,659.57974,666.87519,654.655581,649.085696,626.592861,624.831778,595.023422,612.012007,581.26628,588.70193,571.250322,557.74212,529.953946,522.964434,507.926251,512.40246,497.630683,483.297529,500.412367,481.975536,20314.83221
6059,ORANGE,Total,20243.72186,19213.66442,19691.15921,19818.9297,19993.45804,20127.01155,20234.19765,20724.59177,20732.05861,20259.78031,20372.56993,19919.53429,19764.01149,20671.17265,21531.68153,21123.38611,21322.148,20684.90986,20397.89072,19711.71456,18987.34289,17683.87547,20090.33122,19107.10773,19257.40521,18538.22958,17731.36061,17097.47141,17290.25223,16619.12296,17392.46311,16605.06809,16759.27643,639696.8992
6061,PLACER,Total,3088.624407,3033.149332,2992.67699,2913.899612,2905.773582,2969.875273,2938.028323,2894.880602,2916.944823,2880.878163,2912.061937,2893.632779,2884.897765,2951.538174,3019.357052,3004.120093,2834.80413,2695.002414,2711.582302,2557.183912,2436.325531,2275.639084,2352.562383,2215.047729,2128.929498,1934.874656,1829.063692,1858.131537,1794.466121,1669.272402,1586.81258,1596.550767,1492.592759,83169.1804
6063,PLUMAS,Total,200.308544,210.192686,215.99999,210.31326,205.676883,201.610852,202.845775,194.066786,200.555793,211.857465,224.105817,219.277383,199.843028,202.288264,217.769469,215.927795,223.770752,193.923549,194.232851,195.438474,219.258219,186.696463,202.052578,201.797196,191.862723,217.596324,181.52133,160.905286,150.95928,228.987747,221.594323,183.594684,178.424229,6665.255798
6065,RIVERSIDE,Total,17780.57327,17000.31053,16779.19127,15763.29546,15814.2956,15790.95396,15335.90013,15177.22962,15472.77995,15074.99692,15207.86381,14351.64024,13997.42532,14444.18395,15058.48219,14934.07793,15183.36322,13231.60157,12692.95004,12753.28709,11504.32682,10417.45483,11623.61795,10751.7952,9960.878822,9839.763913,9552.215723,9138.110289,9012.977929,7169.87754,7211.068987,6904.850597,6764.057841,421695.3985
6067,SACRAMENTO,Total,11410.08063,11258.63687,11048.27902,10911.76606,10915.66227,11383.62481,10813.77936,10895.63306,10962.08712,10790.19522,10781.58992,10720.38547,10702.00993,10985.45485,11101.30005,11067.23116,10999.86771,10708.80992,10339.53804,10041.54839,9564.111347,9551.852092,9734.350136,9523.430758,9276.318865,9112.008631,9031.107857,8605.658806,8624.436896,8582.342867,8570.960932,8397.128177,8409.099665,334820.2869
6069,SAN BENITO,Total,398.843582,386.347025,379.457134,371.037122,378.910886,377.950082,381.194706,367.285542,356.067522,357.725238,332.951281,315.487198,308.617532,316.013353,315.855785,322.765591,317.545851,305.040755,311.89807,298.44692,315.861713,316.877641,291.073185,276.914782,246.569722,236.317328,214.125736,201.506763,195.489127,185.573936,187.46431,188.901368,187.822386,9943.939172
6071,SAN BERNARDINO,Total,16629.6142,16168.83669,15909.77093,15258.99053,15325.79789,15236.66341,14901.79343,14684.89124,14680.412,14315.34065,14307.96194,13691.67772,13446.36086,13747.69974,14788.17755,14787.60927,14617.497,14705.51732,14325.98289,13148.30787,12644.87328,11165.37969,12852.03435,12148.75429,11618.04824,11573.63242,11355.43019,10825.00925,10730.91335,11811.51663,11840.20806,11577.46384,11448.53854,446270.7052
6073,SAN DIEGO,Total,20242.9015,19485.53571,19121.39593,19040.88326,19513.50132,19360.60943,19496.80649,19718.4834,19736.18229,19423.24882,19370.25865,18956.05534,18966.43392,19408.21758,19828.68894,19453.19927,19278.29329,18329.73716,18349.2929,17478.89367,16761.62826,16332.9886,17921.63923,17433.72751,16395.33241,15979.61807,15359.78491,14898.33844,14734.08364,14421.60603,14501.71143,13769.28621,14395.97548,587464.3391
6075,SAN FRANCISCO,Total,5120.585617,4990.15057,5032.031362,5631.344589,5626.631924,5720.144562,5747.083369,5785.551728,5828.03615,5872.547242,5859.709628,5887.017844,5740.564717,5644.450257,5711.745018,5607.742317,5317.986457,5355.943444,5067.188168,4978.893071,5053.503462,5006.466824,5282.292698,5192.445156,4819.118716,5128.707901,4999.840708,4971.438397,4860.186411,4972.735135,4912.237099,4967.867806,4984.472429,175676.6608
